gameID,officialName,officialType
2010020045,Marc Joannette,Referee
2010020045,Thor Nelson,Linesman
2010020045,Ryan Galloway,Linesman
2010020046,Tim Peel,Referee
2010020046,Rob Martell,Referee
2010020046,Brian Mach,Linesman
2010020046,Steve Miller,Linesman
2010020047,Wes McCauley,Referee
2010020047,Kyle Rehman,Referee
2010020047,Lonnie Cameron,Linesman
2010020047,Don Henderson,Linesman
2010020048,Dan O'Rourke,Referee
2010020048,Stephane Auger,Referee
2010020048,Tony Sericolo,Linesman
2010020048,Mark Shewchyk,Linesman
2010020049,Chris Rooney,Referee
2010020049,Francois StLaurent,Referee
2010020049,Scott Cherrey,Linesman
2010020049,Jay Sharrers,Linesman
2010020050,Dennis LaRue,Referee
2010020050,Frederick L'Ecuyer,Referee
2010020050,Pierre Champoux,Linesman
2010020050,Brian Murphy,Linesman
2010020051,Kelly Sutherland,Referee
2010020051,Greg Kimmerly,Referee
2010020051,Shane Heyer,Linesman
2010020051,Scott Driscoll,Linesman
2010020052,Paul Devorski,Referee
2010020052,Brian Pochmara,Referee
2010020052,Derek Nansen,Linesman
2010020052,Tim Nowak,Linesman
2010020053,Mike Leggo,Referee
2010020053,Justin StPierre,Referee
2010020053,Mark Wheler,Linesman
2010020053,Bryan Pancich,Linesman
2010020054,Stephen Walkom,Referee
2010020054,Chris Lee,Referee
2010020054,Brad Kovachik,Linesman
2010020054,Andy McElman,Linesman
2010020055,Dave Jackson,Referee
2010020055,Marc Joannette,Referee
2010020055,Pierre Racicot,Linesman
2010020055,Pierre Champoux,Linesman
2010020056,Dan O'Rourke,Referee
2010020056,Brian Pochmara,Referee
2010020056,Tim Nowak,Linesman
2010020056,Tony Sericolo,Linesman
2010020057,Stephane Auger,Referee
2010020057,Don VanMassenhoven,Referee
2010020057,Scott Cherrey,Linesman
2010020057,David Brisebois,Linesman
2010020058,Paul Devorski,Referee
2010020058,Frederick L'Ecuyer,Referee
2010020058,Derek Nansen,Linesman
2010020058,Brian Murphy,Linesman
2010020059,Eric Furlatt,Referee
2010020059,Tom Kowal,Referee
2010020059,Steve Barton,Linesman
2010020059,Brian Mach,Linesman
2010020060,Greg Kimmerly,Referee
2010020060,Brad Meier,Referee
2010020060,Scott Driscoll,Linesman
